code,date,open,close,high,low,volume,money
000001.XSHE,2014-12-02,939.28,1015.11,1036.77,934.64,4511254.181320252,4436556385.0
000001.XSHE,2014-12-03,1015.11,1013.56,1074.68,984.16,5166703.7965192,5328429615.0
000001.XSHE,2014-12-04,1016.65,1080.1,1080.1,998.09,4459265.50874919,4674256837.0
000001.XSHE,2014-12-05,1087.06,1124.2,1177.59,1046.83,5704591.479274151,6337922079.0
000001.XSHE,2014-12-08,1099.44,1178.36,1199.25,1083.19,5077282.315251707,5883749312.0
000001.XSHE,2014-12-09,1157.47,1060.76,1199.25,1060.76,5228582.167502545,6003058194.0
000001.XSHE,2014-12-10,1052.25,1097.89,1110.27,1008.14,4559665.026550928,4801151446.0
000001.XSHE,2014-12-11,1068.49,1077.0,1122.65,1060.76,2892563.075208914,3153139932.0
000001.XSHE,2014-12-12,1075.46,1078.55,1098.67,1058.44,2124712.94423068,2291265629.0
000001.XSHE,2014-12-15,1063.85,1050.7,1063.85,1026.71,2327660.079946702,2428198698.0
000001.XSHE,2014-12-16,1044.51,1113.37,1113.37,1040.64,3191208.7149824416,3433991000.0
000001.XSHE,2014-12-17,1114.14,1188.42,1210.86,1099.44,5687092.926743069,6579151281.0
000001.XSHE,2014-12-18,1192.29,1152.05,1202.35,1129.62,3192746.61603229,3714997465.0
000001.XSHE,2014-12-19,1146.64,1160.56,1174.49,1118.01,2501468.6875301586,2880634388.0
000001.XSHE,2014-12-22,1152.83,1186.87,1249.54,1147.41,4481516.757521886,5383660714.0
000001.XSHE,2014-12-23,1159.79,1141.22,1182.23,1122.65,2323680.1186449598,2688014883.0
000001.XSHE,2014-12-24,1140.45,1088.61,1145.09,1060.76,2598222.776752005,2854388505.0
000001.XSHE,2014-12-25,1110.27,1136.58,1141.22,1087.06,2581427.126995021,2887528005.0
000001.XSHE,2014-12-26,1130.39,1168.3,1174.49,1124.2,3149858.966019003,3625709801.0
000001.XSHE,2014-12-29,1207.76,1154.38,1239.48,1141.22,3342515.3034529365,3983914115.0
000001.XSHE,2014-12-30,1155.15,1199.25,1206.21,1151.28,3058095.39295393,3637381161.0
000001.XSHE,2014-12-31,1207.76,1225.56,1227.88,1183.78,3102014.21717419,3760233693.0
000001.XSHE,2015-01-05,1237.16,1239.48,1258.83,1207.76,3697049.143189078,4565324012.0
000001.XSHE,2015-01-06,1226.33,1220.91,1267.34,1203.89,2800052.6967589743,3453420019.0
000001.XSHE,2015-01-07,1203.89,1197.7,1224.01,1183.78,2197367.71144694,2634832254.0
000001.XSHE,2015-01-08,1199.25,1157.47,1204.67,1154.38,1819433.8894312596,2128076511.0
000001.XSHE,2015-01-09,1152.83,1166.75,1227.1,1138.13,3242183.8440111424,3835377840.0
000001.XSHE,2015-01-12,1150.51,1142.77,1164.43,1121.88,2007587.5346745197,2293095035.0
000001.XSHE,2015-01-13,1133.49,1135.81,1152.83,1131.94,1055786.179026422,1205025400.0
000001.XSHE,2015-01-14,1143.54,1145.86,1175.27,1137.35,1632439.7657654511,1889344685.0
000001.XSHE,2015-01-15,1148.96,1187.64,1187.64,1138.13,1605478.890909703,1868797033.0
000001.XSHE,2015-01-16,1191.51,1189.19,1208.54,1175.27,2010894.2237993923,2403357853.0
000001.XSHE,2015-01-19,1083.97,1070.04,1125.75,1070.04,2762179.443759111,3016202763.0
000001.XSHE,2015-01-20,1070.04,1070.04,1087.06,1050.7,1927103.560614557,2064255514.0
000001.XSHE,2015-01-21,1073.91,1115.69,1129.62,1065.4,2508084.0197545914,2758153280.0
000001.XSHE,2015-01-22,1109.5,1106.41,1123.43,1097.12,1622068.5640946843,1801516221.0
000001.XSHE,2015-01-23,1111.05,1114.14,1131.94,1106.41,1885958.7484517205,2108746806.0
000001.XSHE,2015-01-26,1111.05,1109.5,1117.24,1095.57,1366928.3497070747,1508430332.0
000001.XSHE,2015-01-27,1110.27,1082.42,1111.05,1070.04,1731262.8231185672,1881056428.0
000001.XSHE,2015-01-28,1073.14,1087.84,1106.41,1067.72,1603796.944403589,1742160226.0
