code,date,open,close,high,low,volume,money,time_interval,SMA_5,SMA_15,upperband,lowerband,SMA5_volume,ATR_5,ATR_15,MACD
000001.XSHE,2014-05-22,720.61,724.43,741.6,718.07,973458.771723976,713091844.0,1.0,718.702,710.138,731.8322799571057,688.4437200428944,522296.5014825646,14.119999999999958,14.289999999999987,-6.287559509319067
000001.XSHE,2014-05-23,725.06,736.51,738.42,722.52,653055.9639380319,478103628.0,1.0,722.646,712.0033333333333,737.5708961164145,686.4357705502522,554868.3323929126,15.263999999999964,14.799333333333319,-9.086512303445943
000001.XSHE,2014-05-26,740.96,736.51,740.96,728.88,496823.2094608356,365030396.0,3.0,726.5899999999999,714.5046666666666,741.8925199353472,687.116813397986,572126.2311664536,16.025999999999975,14.289999999999987,-10.34063008737644
000001.XSHE,2014-05-27,733.33,736.51,744.14,731.42,447169.0323281421,329820855.0,1.0,730.914,717.176,744.8278816719604,689.5241183280397,596856.1016419297,16.533999999999992,14.331999999999987,-10.641339207695182
000001.XSHE,2014-05-28,735.88,737.78,739.69,725.06,671425.1945024262,491805586.0,1.0,734.348,720.356,745.5117352733515,695.2002647266485,648386.4343906824,15.772000000000025,14.883333333333326,-10.637947060893794
000001.XSHE,2014-05-29,737.15,731.42,746.05,730.79,569541.0297776929,420664103.0,1.0,735.746,722.7726666666666,744.2556293070846,701.2897040262486,567602.8860014257,14.118000000000029,14.501333333333324,-8.86772051438902
000001.XSHE,2014-05-30,730.79,731.42,738.42,728.88,501201.7035355884,367352179.0,1.0,734.728,724.6806666666666,743.4771244889993,705.884208844334,537232.033920937,12.846000000000027,14.161999999999988,-7.465600007495027
000001.XSHE,2014-06-03,731.42,732.06,743.51,731.42,437271.8274458381,322369289.0,4.0,733.838,725.4013333333332,744.4611532495379,706.3415134171286,525321.7575179376,12.848000000000024,13.35666666666666,-6.469963044827864
000001.XSHE,2014-06-04,732.06,720.61,732.7,715.52,509245.4587085939,367019434.0,1.0,730.658,725.8253333333333,744.0883058134522,707.5623608532145,537737.0427940278,13.740000000000032,13.823333333333334,-3.234176356404191
000001.XSHE,2014-06-05,718.7,726.97,727.61,718.07,387231.9916915416,280040134.0,1.0,728.496,726.334,744.2444611091648,708.4235388908351,480898.40223185095,12.722000000000003,13.484,-2.5368767733069717
000001.XSHE,2014-06-06,727.61,723.79,730.15,718.07,293129.4546760801,212122415.0,1.0,726.97,727.1393333333333,743.2250705235409,711.0535961431257,425616.08721152844,12.08599999999999,13.441333333333326,-1.3619154842790522
000001.XSHE,2014-06-09,721.88,730.15,733.97,719.97,492944.2662466617,359570304.0,3.0,726.716,728.03,743.1077451895183,712.9522548104817,423964.59975374304,12.977999999999998,13.695999999999996,-1.9447749205013452
000001.XSHE,2014-06-10,732.7,747.32,747.32,729.51,977934.5193491408,723578223.0,1.0,729.768,730.0653333333333,746.7926606182068,713.3380060484599,532097.1381344036,14.122000000000003,14.332,-5.780827303276737
000001.XSHE,2014-06-11,742.87,749.23,753.05,740.33,681163.960332608,509138753.0,1.0,735.492,732.3546666666666,749.5733456713606,715.1359876619726,566480.8384592065,13.229999999999972,14.501333333333331,-8.17557338892584
000001.XSHE,2014-06-12,744.31,751.27,755.91,743.54,474910.7271686611,355930913.0,1.0,740.3520000000001,734.3986666666666,752.8754766366446,715.9218566966886,584016.5855546303,13.795999999999982,14.09666666666667,-9.656859714349139
000001.XSHE,2014-06-13,750.5,782.99,801.56,748.95,1602037.1396824988,1246121587.0,1.0,752.192,738.3026666666667,768.671818747277,707.9335145860564,845798.1225559141,21.901999999999976,16.03533333333333,-16.726907582748254
000001.XSHE,2014-06-16,778.35,783.77,791.51,775.26,1135024.7725735873,889635330.0,3.0,762.9159999999999,741.4533333333333,779.787067575543,703.1195990911235,974214.2238212992,22.351999999999975,16.058666666666667,-20.316647690033165
000001.XSHE,2014-06-17,777.58,776.8,787.64,772.16,700328.7744593205,546276872.0,1.0,768.8120000000001,744.1393333333333,786.4304823341525,701.848184332514,918693.0748433352,21.885999999999967,16.28533333333333,-20.112052432198084
000001.XSHE,2014-06-18,776.8,762.88,778.35,759.01,696060.0618708052,534088537.0,1.0,771.5419999999999,745.8973333333332,789.0135944133917,702.7810722532747,921672.2951509745,23.20999999999999,16.726666666666667,-16.254703013785957
000001.XSHE,2014-06-19,762.88,756.69,769.07,748.95,624368.259128573,474539135.0,1.0,772.626,747.158,790.3628054205609,703.9531945794391,951563.801542957,24.75999999999999,17.09266666666666,-12.037719894137922
000001.XSHE,2014-06-20,755.91,762.1,762.1,753.59,480894.8103923369,364391956.0,1.0,768.448,749.2033333333334,792.1189353358458,706.287731330821,727335.3356849246,15.940000000000008,16.64266666666666,-10.203324745420787
000001.XSHE,2014-06-23,762.1,755.91,769.07,755.14,556878.7554073898,423343784.0,3.0,762.876,750.836,792.7026917045717,708.9693082954283,611706.132251685,15.476000000000022,16.935333333333332,-7.418539044276486
000001.XSHE,2014-06-24,756.69,758.24,762.1,755.14,367826.9940915805,279236332.0,1.0,759.164,752.5813333333334,793.2593645166677,711.9033021499991,545205.7761781372,13.772000000000025,16.59333333333333,-5.970391591764269
