code,date,open,close,high,low,volume,money
000001.XSHE,2020-11-26,2300.66,2355.0,2368.29,2300.66,529654.7770700637,1240074317.0
000001.XSHE,2020-11-27,2415.39,2379.16,2415.39,2340.51,624142.4620454275,1479430591.0
000001.XSHE,2020-11-30,2403.31,2383.99,2519.25,2365.87,1309472.137886485,3213680382.0
000001.XSHE,2020-12-01,2379.16,2421.43,2475.77,2348.97,1046393.5050775786,2516010711.0
000001.XSHE,2020-12-02,2406.93,2370.7,2422.63,2358.63,736435.0955414012,1758639100.0
000001.XSHE,2020-12-03,2388.82,2359.83,2398.48,2315.15,591585.4794625035,1393084980.0
000001.XSHE,2020-12-04,2351.38,2330.85,2351.38,2292.2,738063.4317952676,1707638980.0
000001.XSHE,2020-12-07,2332.06,2283.75,2340.51,2257.18,723532.4120415983,1655173371.0
000001.XSHE,2020-12-08,2284.96,2259.6,2295.83,2239.07,595885.6784386617,1345951622.0
000001.XSHE,2020-12-09,2269.26,2259.6,2300.66,2255.97,560755.9891131175,1277484380.0
000001.XSHE,2020-12-10,2262.01,2252.35,2280.13,2228.2,503328.5035629452,1130916212.0
000001.XSHE,2020-12-11,2259.6,2236.65,2269.26,2200.42,735114.7868463995,1642392262.0
000001.XSHE,2020-12-14,2246.31,2280.13,2300.66,2236.65,692219.7453653957,1575395975.0
000001.XSHE,2020-12-15,2270.47,2263.22,2274.09,2193.17,653194.0182571734,1458268582.0
000001.XSHE,2020-12-16,2270.47,2295.83,2305.49,2243.9,570569.9354917394,1302133767.0
000001.XSHE,2020-12-17,2283.75,2288.58,2301.87,2247.52,568141.4654501918,1294658258.0
000001.XSHE,2020-12-18,2294.62,2217.33,2306.7,2201.63,876674.2054633275,1959764030.0
000001.XSHE,2020-12-21,2210.08,2207.67,2251.14,2177.47,750917.6951265361,1662649764.0
000001.XSHE,2020-12-22,2217.33,2161.77,2249.93,2159.36,851819.3147282089,1873638697.0
000001.XSHE,2020-12-23,2169.02,2173.85,2182.3,2148.49,621088.3915633555,1345650705.0
000001.XSHE,2020-12-24,2191.97,2205.25,2231.82,2181.1,524097.81203945127,1155767251.0
000001.XSHE,2020-12-25,2205.25,2178.68,2205.25,2150.9,477835.4398075899,1038128166.0
000001.XSHE,2020-12-28,2176.27,2276.5,2277.71,2170.23,1051869.74522293,2352947261.0
000001.XSHE,2020-12-29,2278.92,2315.15,2329.64,2259.6,797462.560525236,1837947184.0
000001.XSHE,2020-12-30,2294.62,2318.77,2318.77,2260.8,810219.3490514365,1854082767.0
